Player,MIN,FGM/FGA,FG%,FTM/FTA,FT%,3:00 PM,REB,AST,STL,BLK,TO,PTS,FG%_zscore,FT%_zscore,3:00 PM_zscore,REB_zscore,AST_zscore,STL_zscore,BLK_zscore,TO_zscore,PTS_zscore,TO_zscore_inverted,Total_ZScore,Rank
Shai Gilgeous-AlexanderO OKCPG,33.7,10.3/16.0,0.646,9.3/11.3,0.824,2.3,4.0,5.0,0.7,0.3,1.7,32.3,1.3245899614683072,0.468251344456957,1.1306462653228766,-0.0368481766956564,1.698464269084521,-0.2720841271566952,-0.2349558357102,0.5065813323216255,4.650552018206423,-0.5065813323216255,8.22203438665491,1
"Franz Wagner OrlSF, PF",34.0,10.7/19.0,0.561,4.3/5.3,0.813,1.7,5.0,3.7,1.7,0.7,2.3,27.3,0.6712182667944062,0.4344015272823727,0.4592642316974163,0.4339896366377368,0.8903152931833884,1.1185680783108565,0.4405421919566249,1.172373940515762,3.594067718704747,-1.172373940515762,6.869993004051787,3
LaMelo BallO ChaPG,26.3,6.3/15.0,0.422,4.0/4.3,0.923,2.3,5.0,8.7,0.7,0.7,3.0,19.0,-0.3972366221429152,0.7728996990282161,1.1306462653228766,0.4339896366377368,3.998580585110822,-0.2720841271566952,0.4405421919566249,1.9491319834089216,1.8403037815319645,-1.9491319834089216,5.998509426879708,4
P.J. Washington DalPF,36.0,6.0/13.0,0.462,0.0/0.0,0.0,2.0,7.0,1.0,5.0,1.0,2.0,14.0,-0.0897675893551966,-2.067407687530086,0.7949552485101465,1.3756652633045232,-0.7881479644574259,5.707720356353777,0.9471657127067438,0.8394776364186939,0.7838194820302877,-0.8394776364186939,5.824525185144075,5
"Buddy Hield GSSG, SF",26.7,4.7/12.0,0.389,1.7/1.7,1.0,2.3,5.3,3.0,1.3,0.7,0.3,13.3,-0.6508985741927825,1.009848419250306,1.1306462653228766,0.5752409806377548,0.4551581523135476,0.562307196123836,0.4405421919566249,-1.0469347534646931,0.6359116801000532,1.0469347534646931,5.205691064976909,9
"Jordan PooleO NOSG, PG",29.5,6.7/15.5,0.433,3.6/4.0,0.883,3.5,3.0,4.5,1.3,0.4,3.0,20.5,-0.3126826381262926,0.6498094547570004,2.4734103325737973,-0.5076859900290497,1.3876377398917776,0.562307196123836,-0.0660813287934937,1.9491319834089216,2.1572490713824672,-1.9491319834089216,4.39483185437112,15
"Josh Giddey ChiSG, PG, SF",35.0,6.7/12.3,0.541,5.0/6.7,0.75,1.3,9.0,7.7,1.3,0.3,5.3,19.7,0.517483750400547,0.2405343925552081,0.0116762092804428,2.3173408899713097,3.376927526725335,0.562307196123836,-0.2349558357102,4.501336981486444,1.988211583462199,-4.501336981486444,4.278188731322233,16
"Stephon CastleO SAPG, SG",31.9,5.9/11.9,0.497,4.5/6.5,0.694,0.9,5.8,7.5,1.7,0.4,4.0,17.3,0.1792678143340565,0.068208050575506,-0.4359118131365308,0.8106598873044514,3.252596915048238,1.1185680783108565,-0.0660813287934937,3.058786330399149,1.4810991197013943,-3.058786330399149,3.34962039294533,21
Derik Queen NOC,30.5,4.5/10.3,0.439,4.5/5.5,0.818,0.0,7.0,4.8,1.0,0.3,1.8,13.5,-0.2665622832081348,0.4497878078162746,-1.442984863574721,1.3756652633045232,1.5741336574074236,0.1451115344835704,-0.2349558357102,0.6175467670206484,0.6781710520801201,-0.6175467670206484,1.6608195655782074,34
"John Collins LACPF, C",28.0,5.3/11.5,0.457,1.8/2.5,0.7,1.0,4.8,1.3,1.3,0.3,1.0,13.3,-0.1282012184536615,0.0866715872161884,-0.3240148075322874,0.339822073971058,-0.6016520469417799,0.562307196123836,-0.2349558357102,-0.2701767105715338,0.6359116801000532,0.2701767105715338,0.6060653393447406,44
