STARTERS,,,December 7,,,,,,,,,,,
SLOT,Player,action,opp,STATUS,,,,,,,,,,
PG,"Jordan PooleO
NOSG, PG",MOVE,--,,,,,,,,,,,
SG,"Josh Giddey
ChiSG, PG, SF",MOVE,GS,7:00 PM,,,,,,,,,,
SF,"Franz Wagner
OrlSF, PF",MOVE,@NY,12:00 PM,,,,,,,,,,
PF,"Jaren Jackson Jr.
MemC, PF",MOVE,Por,6:00 PM,,,,,,,,,,
C,"Donovan ClinganDTD
PorC",MOVE,@Mem,6:00 PM,,,,,,,,,,
G,Empty,,--,,,,,,,,,,,
F,"Brandon Ingram
TorSF",MOVE,Bos,3:30 PM,,,,,,,,,,
UTIL,"Derik Queen
NOC",MOVE,--,,,,,,,,,,,
UTIL,"Jared McCain
PhiSG",MOVE,LAL,7:30 PM,,,,,,,,,,
UTIL,"Buddy Hield
GSSG, SF",MOVE,@Chi,7:00 PM,,,,,,,,,,
Bench,"Grayson Allen
PhxSG, PG",MOVE,--,,,,,,,,,,,
Bench,"P.J. Washington
DalPF",MOVE,--,,,,,,,,,,,
Bench,"Tobias HarrisDTD
DetPF, SF",MOVE,--,,,,,,,,,,,
Bench,"John Collins
LACPF, C",MOVE,--,,,,,,,,,,,
IR,"Shai Gilgeous-AlexanderO
OKCPG",,@Utah,8:00 PM,,,,,,,,,,
IR,"LaMelo BallO
ChaPG",,Den,6:00 PM,,,,,,,,,,
IR,"Stephon CastleO
SAPG, SG",,--,,,,,,,,,,,
STATS,,,,,,,,,,,,Research,,
MIN,FGM/FGA,FG%,FTM/FTA,FT%,3:00 PM,REB,AST,STL,BLK,TO,PTS,PR15,%ROST,#ERROR!
30.3,5.0/14.1,0.354,4.4/4.6,0.969,2.9,1.7,3.4,0.3,0.3,2.1,17.3,-4.64,61.4,-0.2
34.1,7.1/14.8,0.478,4.6/6.1,0.746,1.8,9.9,9.1,1,0.4,3.7,20.4,6.45,99.6,0
34.5,8.0/16.4,0.487,5.9/7.1,0.823,1.5,6.2,3.8,1.2,0.4,1.9,23.4,7.11,99.3,0
29.7,6.4/13.6,0.47,3.1/4.0,0.786,1.6,5.1,1.8,0.7,1,2.1,17.5,0.6,88.7,0.1
25.2,3.9/8.0,0.482,1.6/2.0,0.81,0.7,10.2,1.7,0.6,1.4,0.8,10,1.99,54.9,-0.6
--,--/--,--,--/--,--,--,--,--,--,--,--,--,--,--,--
33.8,7.8/16.9,0.462,3.9/4.8,0.816,1.3,5.9,3.8,0.9,0.6,3.1,20.8,-0.34,91.4,-0.1
24.6,4.5/9.4,0.48,3.0/3.8,0.789,0.1,6.3,3.6,1,0.7,2.2,12,5.1,40.5,-1.8
18.5,2.8/7.5,0.378,0.4/0.5,0.833,1.4,2,1.8,0.8,0,0.9,7.5,1.84,16.5,-0.3
18.8,2.9/7.2,0.405,0.7/0.8,0.944,1.5,2.5,1.7,0.9,0.1,1,8,1.79,15.1,1.1
31.3,5.9/13.1,0.449,1.9/2.4,0.806,3.6,2.9,3.9,1.6,0.3,1.7,17.3,-3.95,52.9,-1.3
31.8,5.9/13.3,0.44,2.6/3.8,0.684,1.6,7.8,2.2,1.2,1.2,2.6,15.9,4.52,50.1,-0.1
29.7,5.2/11.5,0.453,2.5/3.0,0.833,1.8,5.1,2.4,0.4,0.3,1.1,14.7,2.75,55.4,-1.9
27.1,4.8/9.5,0.498,1.8/2.3,0.796,0.9,4.8,0.7,0.8,0.6,1.5,12.2,4.69,56.7,-0.7
33.3,10.8/19.4,0.556,9.0/10.2,0.881,2.2,4.7,6.4,1.4,0.7,1.7,32.8,13.75,100,0
29,6.7/17.3,0.386,3.6/4.1,0.877,2.4,6,8.5,1.1,0.2,3.3,19.4,2.56,98.3,-0.3
31.9,5.9/11.9,0.497,4.5/6.5,0.694,0.9,5.8,7.5,1.7,0.4,4,17.3,-4.86,83.2,-0.2
