Player,MIN,FGM/FGA,FG%,FTM/FTA,FT%,3:00 PM,REB,AST,STL,BLK,TO,PTS,FG%_zscore,FT%_zscore,3:00 PM_zscore,REB_zscore,AST_zscore,STL_zscore,BLK_zscore,TO_zscore,PTS_zscore,TO_zscore_inverted,Total_ZScore,Rank
"Josh Giddey ChiSG, PG, SF",37.7,10.7/19.7,0.542,4.3/5.3,0.813,2.3,12.0,11.0,1.3,0.0,3.0,28.0,0.4971499611860661,0.5027597846343432,1.0530849737477164,3.6410992775191144,4.8598238912662195,1.0201123840489619,-0.7908885994666479,2.282822538190537,3.53893538393452,-2.282822538190537,12.039254518679758,1
"Will Richard GSSG, PF",35.0,10.0/15.0,0.667,5.0/7.0,0.714,5.0,7.0,3.0,1.0,0.0,1.0,30.0,1.296883930802843,0.2304463336678612,3.7090316611194645,1.4424655728602434,0.45714891960361687,0.5015729289554668,-0.7908885994666479,-0.15159076717457629,3.9113466738930898,0.15159076717457629,10.909598188610515,2
Shai Gilgeous-Alexander OKCPG,32.3,9.0/18.0,0.5,11.0/11.7,0.943,2.7,5.0,7.7,0.3,1.0,1.7,31.7,0.22843934739482874,0.8603431040852793,1.4465585570620496,0.563012090996695,3.043720465455396,-0.7083524662626884,1.350553953906502,0.7004538897032133,4.227896270357875,-0.7004538897032133,10.311717433292722,3
"Moses Moody GSSG, SF",29.7,5.7/9.7,0.586,3.0/3.3,0.9,4.0,3.3,2.7,1.0,1.7,1.3,18.3,0.7786563184911711,0.7420655445745853,2.725347702833632,-0.1845233685873211,0.2920486081662694,0.5015729289554668,2.849563741267707,0.21357122863019076,1.7327406276354567,-0.21357122863019076,9.223900874706777,4
Ayo DosunmuDTD ChiSG,29.0,8.0/10.0,0.8,5.0/6.0,0.833,1.0,4.0,9.0,1.0,0.0,1.0,22.0,2.147800874475094,0.5577726030114103,-0.2257041720238659,0.1232853500649209,3.7591551483505685,0.5015729289554668,-0.7908885994666479,-0.15159076717457629,2.4217015140588107,0.15159076717457629,8.646286414600334,5
"Grayson Allen PhxSG, PG",34.3,6.0/14.0,0.429,0.5/0.8,0.667,3.8,4.3,4.5,2.3,0.5,1.5,16.3,-0.22580954734750067,0.10116621048175374,2.528610911176465,0.25520337234445306,1.2826504767903548,2.748577234360612,0.279832677219927,0.457012559166702,1.3603293376768868,-0.457012559166702,7.873548113536249,6
Jaylon Tyson CleSG,29.0,5.7/11.7,0.486,0.3/0.3,1.0,3.7,3.7,3.0,0.7,1.3,1.0,15.3,0.13886914279774965,1.0171296364599207,2.4302425153478824,-0.008632672214611272,0.45714891960361687,-0.01696652613802837,1.992986719918447,-0.15159076717457629,1.1741236926976018,0.15159076717457629,7.336492195647154,7
"Stephon Castle SAPG, SG",35.5,6.5/13.5,0.481,6.5/7.5,0.867,1.5,6.0,6.5,2.5,0.5,4.0,21.0,0.10687978401307853,0.6512943942524245,0.2661378071190504,1.0027388319284694,2.3833192197060056,3.094270204422942,0.279832677219927,3.5000291908730934,2.235495869079526,-3.5000291908730934,6.51993959686833,8
Goga Bitadze OrlC,16.5,4.0/4.5,0.889,1.0/1.0,1.0,0.5,4.0,1.0,0.5,1.5,0.0,9.5,2.717211460842239,1.0171296364599207,-0.7175461511667822,0.1232853500649209,-0.6435198233120337,-0.3626594962003583,2.4212752305930767,-1.3687974198571329,0.09413095181774907,1.3687974198571329,6.018104578955865,9
Cason Wallace OKCSG,29.0,3.7/6.0,0.611,0.7/0.7,1.0,2.0,3.7,2.3,3.0,0.0,1.3,10.0,0.9386031124145267,1.0171296364599207,0.7579797862619667,-0.008632672214611272,0.07191485958313909,3.9585026295787666,-0.7908885994666479,0.21357122863019076,0.18723377430739152,-0.21357122863019076,5.918271298294261,10
Dennis Schroder SacPG,34.7,7.0/14.7,0.477,4.0/4.3,0.923,2.0,5.3,7.7,1.0,0.3,2.7,20.0,0.08128829698534165,0.8053302857082124,0.7579797862619667,0.6949301132762272,3.043720465455396,0.5015729289554668,-0.148455833454703,1.9176605423857702,2.049290224100241,-1.9176605423857702,5.867995724902379,11
"Jaren Jackson Jr. MemC, PF",31.0,6.0/10.8,0.558,2.5/3.3,0.769,1.8,5.8,1.5,0.3,1.8,1.3,16.3,0.5995159092970136,0.3817315842047958,0.5612429946048002,0.9147934837421143,-0.36835263758312103,-0.7083524662626884,3.063707996605022,0.21357122863019076,1.3603293376768868,-0.21357122863019076,5.591044973654632,12
P.J. Washington DalPF,36.7,6.3/15.3,0.413,3.3/5.7,0.588,0.7,9.3,3.0,1.0,2.0,2.7,16.7,-0.3281754954584482,-0.11613442210766145,-0.5208093595096157,2.4538370770033247,0.45714891960361687,0.5015729289554668,3.4919965072796515,1.9176605423857702,1.4348115956686005,-1.9176605423857702,5.4565872090491645,13
"Quenton JacksonO IndPG, SG",24.3,5.0/9.3,0.536,4.0/5.3,0.75,1.7,4.0,6.0,1.3,0.3,1.3,15.7,0.45876273064446077,0.32946940674658204,0.4628745987762169,0.1232853500649209,2.1081520339770927,1.0201123840489619,-0.148455833454703,0.21357122863019076,1.2486059506893155,-0.21357122863019076,5.389235392862656,14
Harrison Barnes SAPF,27.5,3.5/6.0,0.583,3.0/3.0,1.0,3.5,5.0,2.5,0.5,0.0,0.5,13.5,0.7594627032203685,1.0171296364599207,2.2335057236907154,0.563012090996695,0.18198173387470423,-0.3626594962003583,-0.7908885994666479,-0.7601940935158545,0.8389535317348888,0.7601940935158545,5.2006914178261425,15
LaMelo BallDTD ChaPG,33.0,7.0/19.0,0.368,2.0/2.0,1.0,2.0,7.0,8.0,1.0,0.0,3.0,18.0,-0.6160797245204879,1.0171296364599207,0.7579797862619667,1.4424655728602434,3.2088207768927433,0.5015729289554668,-0.7908885994666479,2.282822538190537,1.676878934141671,-2.282822538190537,4.9150567733943396,16
Neemias Queta BosC,21.0,4.3/4.8,0.895,0.8/1.5,0.5,0.0,7.0,2.0,0.8,1.0,0.5,9.3,2.7555986913838444,-0.35819082296675653,-1.2093881303096985,1.4424655728602434,-0.0931854518542084,0.1558799588931368,1.350553953906502,-0.7601940935158545,0.056889822821892214,0.7601940935158545,4.86081768825081,17
Jock Landale MemC,24.8,5.3/8.0,0.656,0.8/1.0,0.75,2.3,4.8,1.3,1.8,0.3,1.5,13.5,1.2265073414765666,0.32946940674658204,1.0530849737477164,0.47506674281034017,-0.47841951187468607,1.884344809204787,-0.148455833454703,0.457012559166702,0.8389535317348888,-0.457012559166702,4.72353890122479,18
Brandon Ingram TorSF,33.0,7.7/14.0,0.548,4.0/4.7,0.857,0.3,7.7,4.3,0.7,1.0,2.7,19.7,0.5355371917276714,0.6237879850638909,-0.9142829428239486,1.7502742915124854,1.1725836024987897,-0.01696652613802837,1.350553953906502,1.9176605423857702,1.9934285306064552,-1.9176605423857702,4.577255543968047,19
